area_id,area_name,latitude,longtitude,address,custno
164,거제 외포,34.9388,128.7272,경상남도 거제시 장목면 외포리 산35,
165,거제 장승포 고래등,34.8976162,128.6861358,경상남도 거제시 장승포동 287-7 ,
166,금진항,34.8968,127.7464,전라남도 고흥군 금산면,
167,고성 덕명방파제,34.8962,128.1408,경상남도 고성군 하이면 덕명리 737-2,
168,통영 서촌방파제,34.8953,128.305,경상남도 통영시 도산면 저산리 169-10,
169,거제 장승포 몽골개,34.8940468,128.6967593,경상남도 거제시 장승포동 1114-11 ,
170,거제 장승포 빈천,34.8904652,128.7031346,경상남도 거제시 장승포동 1356 ,
171,당사도 마당바위,34.8735052,126.1782913,전라남도 신안군 암태면 당사리 77-1,
172,여서도,34.872008,125.038225,전라남도 신안군 흑산면,
173,율촌제2일반산업단지,34.8708,127.6335,전라남도 여수시 율촌면 여순로,
174,양화 페수산,34.865128,128.681875,경상남도 거제시 양재동 산 113-3 ,
175,거제 장승포 넓적바위,34.8599742,128.6971901,경상남도 거제시 장승포동 산 136-8 ,
176,여서도 떡바위,34.8375697,125.2151412,전라남도 신안군 흑산면 여서동리 여서도 638-1,
177,통영 방화도 (1),34.8373,128.4557,경상남도 거제시 둔덕면 술역리 803-20,
178,통영 방화도 (2),34.8371,128.4555,경상남도 거제시 둔덕면 술역리 803-20,
179,통영 방화도 (3),34.8369,128.4555,경상남도 거제시 둔덕면 술역리 803-20,
180,사량도 사금방파제,34.8298,128.1961,경상남도 통영시 사량면 금평리 1094-4,
181,당사도 솔개여,34.8245,126.1195,전라남도 신안군 암태면 당사리,
182,지심도 마흔여 (1),34.8165,128.7528,경상남도 거제시 일운면 옥림리 산1,
183,지심도 마흔여 (2),34.8165,128.7527,경상남도 거제시 일운면 옥림리 산1,
184,지심도 마흔여 (3),34.8165,128.7526,경상남도 거제시 일운면 옥림리 산1,
185,추자도 오동여,34.7958,128.6682,전라남도 신안군 추자면 추자리 오동여 ,
186,곤리도 등대,34.784,128.3708,경상남도 통영시 산양읍 곤리리 174-16,
187,폐수산,34.7803,128.6666,경상남도 거제시 동부면 학동리 산1-2,
188,청산도 붙은여,34.7726541,126.3147251,전라남도 신안군 압해읍 청산면 청산도 ,
189,거금도익금리,34.7719,126.3057,전라남도 고흥군 금산면 익금리,
190,한산도 장작지,34.7715,128.4717,경상남도 통영시 한산면 두억리 563-4,
191,해양수산앞방파제,34.7654,128.4046,경상남도 통영시 산양읍 미남리 702-4,
192,청산도 노랑바위,34.7607835,126.2982225,전라남도 신안군 압해읍 청산면 청산도 노랑바위 ,
193,추자도 작은보름섬,34.7602,128.5269,전라남도 신안군 추자면 추자리 ,
194,한산도 의암마을 방파제,34.7575,128.491,경상남도 통영시 한산면 하소리 430-5,
195,여자도 장어다리,34.7564,127.5062,전라남도 여수시 화정면 마파지길,
196,추봉도 동섬,34.7503,128.5462,경상남도 통영시 한산면 추봉리 산158,
197,여수 오동도 방파제,34.7499,127.7673,전라남도 여수시 수정동 2-9,
198,돈북섬 풀섬하얀등대,34.7498,127.5162,전라남도 여수시 화정면 여자리 산141,
199,해금강 (1),34.7422,128.6774,경상남도 거제시 남부면 갈곶리 산14-37,
200,탑포 노랑바위,34.739,128.5843,경상남도 거제시 남부면 저구리 산128-1,
201,신진도 부억도,34.7336,127.8227,충청남도 태안군 근흥면 신진도 부억도,
202,해금강 (2),34.7307,128.6719,경상남도 거제시 남부면 갈곶리 산2-16,
203,해금강 (3),34.7296,128.6743,경상남도 거제시 남부면 갈곶리 산2-16,
204,남해도 가천콘도 (1),34.7227,127.8867,경상남도 남해군 남면 홍현리 1424-5,
205,오곡도 춘향여 (1),34.7224,128.4284,경상남도 통영시 산양읍 연곡리 산191,
206,남해도 가천콘도 (2),34.7222,127.8893,경상남도 남해군 남면 홍현리 1424-1,
207,남해도 가천콘도 (3),34.722,127.8886,경상남도 남해군 남면 홍현리 1424-1,
208,오곡도 춘향여 (2),34.7218,128.4285,경상남도 통영시 산양읍 연곡리 산196-13,
209,오곡도 춘향여 (3),34.7215,128.4288,경상남도 통영시 산양읍 연곡리 산196-13,
210,오곡도 춘향여 (4),34.7204,128.4282,경상남도 통영시 산양읍 연곡리 산197,
211,비진도 충복도 범여 (1),34.7203,128.4527,경상남도 통영시 한산면 비진리 535,
212,비진도 충복도 범여 (2),34.7202,128.4523,경상남도 통영시 한산면 비진리 535,
213,비진도 충복도 범여 (3),34.7201,128.4524,경상남도 통영시 한산면 비진리 535,
214,북신항방파제,34.7171,128.0534,경상남도 남해군 미조면 미조리 28-4,
215,여차본섬 큰여,34.7099,128.6382,경상남도 거제시 남부면 다포리 산21-2,
216,내치도,34.6955,127.7876,전라남도 여수시 돌산읍 우두리 산4,
217,남해군 애도,34.6932,128.0328,경상남도 남해군 미조면 미조리 산402-2,
218,하노대,34.6621,128.2518,경상남도 통영시 욕지면 노대리 산25-11,
219,통영 적도 (1),34.6606,128.3166,경상남도 통영시 욕지면 동항리,
220,통영 적도 (2),34.6603,128.3166,경상남도 통영시 욕지면 동항리,
221,통영 적도 (3),34.6602,128.3165,경상남도 통영시 욕지면 동항리,
222,여서도 성여,34.65547356,125.0727975,전라남도 신안군 흑산면 여서리 20-3 ,
223,강진 마량 정자도 방파제,34.6533,126.5463,전라남도 완도군 금일읍 장정리 방파제,
224,고흥내만 섭도 남동쪽 끝,34.6393,127.3556,전라남도 고흥군 금산면,
225,욕지도 좌대,34.6367,128.2737,경상남도 통영시 욕지면 동항리 584-34,
226,소초도 (1),34.6202,128.3261,경상남도 통영시 욕지면 동항리 산6-1,
227,소초도 (2),34.6199,128.326,경상남도 통영시 욕지면 동항리 산6-1,
228,소초도 (3),34.6199,128.3258,경상남도 통영시 욕지면 동항리 산6-1,
229,돌산방파제,34.6131,127.7213,전라남도 여수시 돌산읍 군내리 595-1,
230,내장덕암 (1),34.6061,128.3263,경상남도 통영시 욕지면 동항리,
231,내장덕암 (2),34.6061,128.3257,경상남도 통영시 욕지면 동항리,
232,내장덕암 (3),34.6059,128.326,경상남도 통영시 욕지면 동항리,
233,신기방파제,34.6012,127.7403,전라남도 여수시 돌산읍 신복리 1111-19,
